epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.284,1.77714,2.68079,1.6723,0.37153,0.48039,0.42191,0.18767,1.73827,1.87737,1.85647,0.00036947,0.00036947,0.00036947
2,258.199,1.79103,2.21156,1.68363,0.41366,0.45499,0.38369,0.16734,1.90842,1.94613,1.97384,0.000710507,0.000710507,0.000710507
3,386.056,1.79565,2.0673,1.70153,0.45011,0.56583,0.4775,0.208,1.77125,1.68041,1.83303,0.00102221,0.00102221,0.00102221
4,512.568,1.77753,1.89905,1.67485,0.48788,0.53699,0.48679,0.21358,1.76416,1.61592,1.85815,0.000979013,0.000979013,0.000979013
5,639.837,1.73182,1.77897,1.65407,0.57356,0.58351,0.58903,0.26612,1.71321,1.45454,1.80576,0.000935018,0.000935018,0.000935018
6,772.187,1.7254,1.73103,1.64468,0.48608,0.54994,0.55209,0.25824,1.70458,1.57891,1.79846,0.000891022,0.000891022,0.000891022
7,898.096,1.70033,1.68395,1.61009,0.567,0.55988,0.59663,0.28092,1.71291,1.49739,1.77817,0.000847026,0.000847026,0.000847026
8,1022.78,1.68239,1.61431,1.601,0.60942,0.57616,0.6331,0.29303,1.74955,1.37063,1.78652,0.000803031,0.000803031,0.000803031
9,1147.48,1.65904,1.60012,1.58458,0.63003,0.62608,0.65432,0.3271,1.63739,1.28648,1.72104,0.000759035,0.000759035,0.000759035
10,1272.1,1.64687,1.56065,1.58214,0.61951,0.63517,0.6359,0.27059,1.84765,1.39368,1.87175,0.00071504,0.00071504,0.00071504
11,1396.66,1.62715,1.49497,1.54888,0.67501,0.60336,0.65624,0.30642,1.75232,1.31509,1.83138,0.000671044,0.000671044,0.000671044
12,1521.54,1.62346,1.50593,1.54778,0.64979,0.65693,0.67558,0.3312,1.6394,1.27072,1.71566,0.000627048,0.000627048,0.000627048
13,1646.16,1.61581,1.47517,1.55536,0.74753,0.65985,0.70378,0.33522,1.69878,1.24311,1.74097,0.000583053,0.000583053,0.000583053
14,1771.2,1.5891,1.43802,1.53046,0.71481,0.67064,0.69798,0.34725,1.66499,1.19767,1.7117,0.000539057,0.000539057,0.000539057
15,1896.4,1.56442,1.38669,1.51457,0.76442,0.65396,0.72082,0.33912,1.69168,1.22461,1.73406,0.000495062,0.000495062,0.000495062
16,202.561,1.54537,1.23216,1.55272,0.7322,0.66289,0.71844,0.3472,1.64711,1.21502,1.70175,0.000451066,0.000451066,0.000451066
17,332.572,1.52844,1.20731,1.53295,0.76623,0.66453,0.72912,0.35361,1.63217,1.18807,1.69686,0.00040707,0.00040707,0.00040707
18,459.62,1.49203,1.15799,1.51522,0.79964,0.66248,0.73642,0.363,1.64176,1.15322,1.70356,0.000363075,0.000363075,0.000363075
19,585.751,1.48412,1.11042,1.49205,0.76084,0.69156,0.73609,0.36519,1.63399,1.13114,1.70017,0.000319079,0.000319079,0.000319079
20,712.4,1.46286,1.08848,1.4854,0.74843,0.69379,0.73055,0.35907,1.66998,1.12024,1.71058,0.000275084,0.000275084,0.000275084
21,838.51,1.45636,1.06343,1.48023,0.75342,0.70246,0.73072,0.35374,1.69488,1.1342,1.73744,0.000231088,0.000231088,0.000231088
22,963.99,1.44567,1.05624,1.47308,0.74619,0.69644,0.73128,0.35324,1.67222,1.11511,1.73348,0.000187092,0.000187092,0.000187092
23,1093.25,1.41928,1.02535,1.45866,0.78986,0.69547,0.74174,0.35377,1.69981,1.09675,1.73895,0.000143097,0.000143097,0.000143097
24,1222.71,1.4013,1.00367,1.44216,0.79114,0.69171,0.74293,0.36652,1.66091,1.06398,1.71128,9.91012e-05,9.91012e-05,9.91012e-05
25,1350.2,1.39134,0.98992,1.44237,0.76584,0.71575,0.75431,0.36858,1.66947,1.05591,1.71908,5.51056e-05,5.51056e-05,5.51056e-05
